Petfinder-ID,Name,Size,Gender,Age,Color,Breed
69744662,Jojo Oak the Gentle Girl,Medium,Female,Adult,Brown,Bull Terrier
69744675,Autumn,Small,Female,Adult,Yellow,Pug
69744688,Penny,Medium,Female,Baby,White,Bull Terrier
69744699,Edmund,Small,Male,Young,,Pug
69744700,Rose,Medium,Female,Baby,Black,Labrador Retriever
69744707,Bonn,Medium,Male,Baby,Brown,Australian Cattle Dog
69744714,Emma,Medium,Female,Baby,Brindle,Bull Terrier
69744715,Blue,Large,Male,Young,Gray,American Staffordshire Terrier
69744716,Phantom,Small,Male,Young,Black,Pug
69744717,Bailey,Medium,Female,Young,Apricot,Border Collie
69744770,Daisy Mae 4873,Medium,Female,Young,,German Shepherd
69744801,Apple,Small,Female,Adult,Yellow,Pug
69744803,Cipher,Large,Male,Adult,Gray,American Staffordshire Terrier
69744807,Hershey,Medium,Male,Young,Apricot,American Staffordshire Terrier
69744808,Mavis,Small,Female,Young,Yellow,Pug
69744810,BANJO,Medium,Male,Young,,Golden Retriever
69744811,Priya,Small,Female,Young,Yellow,Pug
69744814,Berlin,Small,Male,Baby,Black,Chihuahua
69744821,Murphy,Large,Male,Adult,White,Great Pyrenees
69744825,Chop,Medium,Male,Adult,Apricot,Cardigan Welsh Corgi
69744829,Micah,Small,Male,Young,Yellow,Pug
69744830,Tessa,Medium,Female,Baby,Bicolor,Labrador Retriever
69744839,Sticker,Large,Female,Baby,Tricolor,Australian Shepherd
69744841,Solomon,Small,Male,Young,Yellow,Pug
69744845,Jaylee,Large,Female,Young,,Australian Shepherd
69744846,Veggie,Small,Female,Adult,,Chihuahua
69744851,URGENT! SHELTER IS FULL - SAVE ARLO!,Medium,Male,Young,Blue Merle,Australian Cattle Dog
69744853,Red,Medium,Male,Adult,Golden,American English Coonhound
69744855,Rocket man,Large,Male,Adult,,Bull Terrier
69744856,Princess,Medium,Female,Young,White,Labrador Retriever
69744858,Reaper *Arriving 12/2*,Medium,Female,Baby,,Parson Russell Terrier
69744859,Buddy ,Medium,Male,Baby,Golden,Boxer
69744861,Cooper,Small,Male,Young,Yellow,Pug
69744863,Lily,Medium,Female,Young,Apricot,Labrador Retriever
69744867,Milton,Small,Male,Young,Yellow,Pug
